attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.1,0,0,0,7,1,1,0,2,1,1,0,0,0,0,6,0
0.5,0,0,1,0,3,5,0,3,1,1,0,0,0,0,1,0
0.9,0.4961311206788115,1,0,3,1,1,0,6,1,1,0,0,0,0,5,0
0.1,0.569975129,1,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.1,0,0,2,7,3,5,2,2,3,5,0,0,0,0,5,0
0.9,0.35,1,2,7,3,5,0,2,1,1,0,0,0,0,1,0
0.1,0,0,0,6,1,1,0,1,1,1,0,0,0,0,5,0
0.5,0,0,1,6,3,5,0,1,1,1,0,0,0,0,1,0
0.9,0.4957698134761931,1,0,5,3,5,0,0,3,5,0,0,0,0,5,0
0.5,0.4823332508261292,1,0,5,3,5,0,0,1,1,0,0,0,0,1,0
0.5,0.35,1,1,6,1,1,1,1,1,1,0,0,0,0,5,0
0.5,0.3849674661979412,1,0,5,3,5,0,0,1,1,0,0,0,0,1,0
0.9,0.6399563878274936,1,1,2,1,1,1,5,1,1,0,0,0,0,5,0
0.9,0.5943353316428511,1,2,0,3,5,0,3,1,1,0,0,0,0,1,0
0.5,0,0,1,3,3,5,1,6,3,5,0,0,0,0,5,0
0.1,0,0,1,0,3,5,0,3,1,1,0,0,0,0,1,0
0.1,0,0,2,2,3,5,2,5,3,5,0,0,0,0,6,0
0.1,0.4071151060022509,1,0,4,3,5,0,7,1,1,0,0,0,0,1,0
0.1,0.5,1,1,4,3,5,1,7,3,5,0,0,0,0,5,0
0.5,0.561392515,1,2,5,3,5,0,0,1,1,0,0,0,0,1,0
0.5,0,0,0,7,1,1,0,2,1,1,0,0,0,0,5,0
0.1,0,0,1,0,3,5,0,3,1,1,0,0,0,0,1,0
0.5,0.4964362586198053,1,1,7,1,1,1,2,1,1,0,0,0,0,6,2
0.9,0.4758058121522133,1,1,5,3,5,0,0,1,1,0,0,0,0,1,0
0.1,0,0,1,6,3,5,1,1,3,5,0,0,0,0,6,0
0.1,0,0,2,1,3,5,0,4,1,1,0,0,0,0,1,0
0.9,0.367471399,1,1,4,3,5,1,7,3,5,0,0,0,0,6,0
0.5,0,0,2,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0,0,0,5,3,5,0,0,3,5,0,0,0,0,5,0
0.9,0.55,1,1,5,3,5,0,0,1,1,0,0,0,0,1,0
0.9,0.4820919498175433,1,1,0,1,1,1,3,1,1,0,0,0,0,6,0
0.9,0.4756108792734694,1,0,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0,0,0,0,3,5,0,3,3,5,0,0,0,0,6,0
0.5,0.3877235469334386,1,1,6,3,5,0,1,1,1,0,0,0,0,1,0
0.1,0,0,0,0,3,5,0,3,1,1,0,0,0,0,1,0
0.9,0.4829391118655857,1,1,4,3,5,1,7,3,5,0,0,0,0,5,0
0.9,0.549519545,1,0,1,3,5,0,4,1,1,0,0,0,0,1,0
0.1,0,0,0,5,3,5,0,0,1,1,0,0,0,0,1,0
0.1,0,0,0,6,3,5,0,1,3,5,0,0,0,0,5,0
0.1,0,0,2,2,3,5,0,5,1,1,0,0,0,0,1,4
0.5,0,0,2,1,3,5,2,4,3,5,0,0,0,0,5,0
0.1,0,0,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0.488035085,1,2,4,1,1,2,7,1,1,0,0,0,0,6,0
0.9,0.5012284501522661,1,0,0,3,5,0,3,1,1,0,0,0,0,1,0
0.1,0,0,0,3,3,5,0,6,3,5,0,0,0,0,6,0
0.9,0.5459458405887258,1,2,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0.4855438460610814,1,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.1,0,0,2,4,1,1,2,7,1,1,0,0,0,0,6,0
0.5,0.5,1,1,6,3,5,0,1,1,1,0,0,0,0,1,0
0.1,0,0,2,2,3,5,0,5,1,1,0,0,0,0,1,1
